Code,Food name in English,Scientific name,eligibility_status,eligibility_reason,eligibility_rule_id,eligibility_source
01_013,"Maize, Gnonli variety, whole kernel, dry, raw (Benin), n=1",Zea mays,eligible,No exclusion or review rule matched.,,Default project rule
01_014,"Maize, combined varieties, whole kernel, dry, raw (Benin)",Zea mays,eligible,No exclusion or review rule matched.,,Default project rule
01_123,"Maize, combined varieties, whole kernel (Benin), boiled* (as part of a recipe)",Zea mays,eligible,No exclusion or review rule matched.,,Default project rule
01_062,"Maize, combined varieties, whole kernel (Benin), boiled* (without salt), drained",Zea mays,eligible,No exclusion or review rule matched.,,Default project rule
01_060,"Maize, white, grit, degermed, raw",Zea mays,eligible,No exclusion or review rule matched.,,Default project rule
01_080,"Maize, white, meal, sifted, unfortified",Zea mays,eligible,No exclusion or review rule matched.,,Default project rule
01_091,"Maize, white, meal, sifted, fortified with vitamin A (Nigeria)",Zea mays,eligible,No exclusion or review rule matched.,,Default project rule
01_057,"Maize, white, meal, whole grains",Zea mays,eligible,No exclusion or review rule matched.,,Default project rule
01_058,"Maize, white, refined flour (special), unfortified",Zea mays,eligible,No exclusion or review rule matched.,,Default project rule
01_092,"Maize, white, refined flour (special), fortified with vitamin A (Nigeria)",Zea mays,eligible,No exclusion or review rule matched.,,Default project rule
01_081,"Maize, white, refined flour (super), unfortified",Zea mays,eligible,No exclusion or review rule matched.,,Default project rule
01_093,"Maize, white, refined flour (super), fortified with vitamin A (Nigeria)",Zea mays,eligible,No exclusion or review rule matched.,,Default project rule
01_004,"Maize, white, whole kernel, dry, raw",Zea mays,eligible,No exclusion or review rule matched.,,Default project rule
01_104,"Maize, white, whole kernel, boiled* (as part of a recipe)",Zea mays,eligible,No exclusion or review rule matched.,,Default project rule
01_005,"Maize, white, whole kernel, boiled* (without salt), drained",Zea mays,eligible,No exclusion or review rule matched.,,Default project rule
01_094,"Maize, white, whole kernel, dry, decorticated, raw",Zea mays,eligible,No exclusion or review rule matched.,,Default project rule
01_119,"Maize, white, whole kernel, decorticated, boiled* (as part of a recipe)",Zea mays,eligible,No exclusion or review rule matched.,,Default project rule
01_118,"Maize, white, whole kernel, decorticated, boiled* (without salt), drained",Zea mays,eligible,No exclusion or review rule matched.,,Default project rule
01_055,"Maize, yellow, grit, degermed, raw",Zea mays,eligible,No exclusion or review rule matched.,,Default project rule
01_054,"Maize, yellow, meal, whole grains, unfortified",Zea mays,eligible,No exclusion or review rule matched.,,Default project rule
01_006,"Maize, yellow, whole kernel, dry, raw",Zea mays,eligible,No exclusion or review rule matched.,,Default project rule
01_120,"Maize, yellow, whole kernel, boiled* (as part of a recipe)",Zea mays,eligible,No exclusion or review rule matched.,,Default project rule
01_007,"Maize, yellow, whole kernel, boiled* (without salt), drained",Zea mays,eligible,No exclusion or review rule matched.,,Default project rule
01_097,"Millet dough (tchobal/fura), from decorticated millet only, cooked",Pennisetum glaucum,eligible,No exclusion or review rule matched.,,Default project rule
01_153,"Millet dough (tô), from whole millet only, cooked",Pennisetum glaucum,eligible,No exclusion or review rule matched.,,Default project rule
01_102,"Millet porridge, fermented (hausa koko/ben saalga), from whole millet grains only, cooked",Pennisetum glaucum,eligible,No exclusion or review rule matched.,,Default project rule
01_161,"Moui béinré (Burkina Faso)*: rice porridge with water, milk and sugar",,eligible,No exclusion or review rule matched.,,Default project rule
01_158,Moui naagdme (Burkina Faso)*: rice with fish and vegetables,,eligible,No exclusion or review rule matched.,,Default project rule
01_159,"Moui nin kalogo (Burkina Faso)*: rice with fish, onion and fermented African locust beans",,eligible,No exclusion or review rule matched.,,Default project rule
01_101,"Oats, rolled, raw",Avena sativa,eligible,No exclusion or review rule matched.,,Default project rule
01_133,"Oats, porridge* (without salt)",Avena sativa,eligible,No exclusion or review rule matched.,,Default project rule
01_018,"Pearl millet, IKMV 8201 variety, whole grains, raw (Burkina Faso), n=1",Pennisetum glaucum ,eligible,No exclusion or review rule matched.,,Default project rule
01_019,"Pearl millet, IKMP 1 variety, whole grains, raw (Burkina Faso), n=1",Pennisetum glaucum ,eligible,No exclusion or review rule matched.,,Default project rule
01_020,"Pearl millet, IKMP 2 variety, whole grains, raw (Burkina Faso), n=1",Pennisetum glaucum ,eligible,No exclusion or review rule matched.,,Default project rule
01_021,"Pearl millet, IKMP 3 variety, whole grains, raw (Burkina Faso), n=1",Pennisetum glaucum ,eligible,No exclusion or review rule matched.,,Default project rule
01_022,"Pearl millet, IKMP 4 variety, whole grains, raw (Burkina Faso), n=1",Pennisetum glaucum ,eligible,No exclusion or review rule matched.,,Default project rule
01_023,"Pearl millet, IKMP 5 variety, whole grains, raw (Burkina Faso), n=1",Pennisetum glaucum ,eligible,No exclusion or review rule matched.,,Default project rule
01_024,"Pearl millet, IKMP 6 variety, whole grains, raw (Burkina Faso), n=1",Pennisetum glaucum ,eligible,No exclusion or review rule matched.,,Default project rule
01_025,"Pearl millet, IKMP 7 variety, whole grains, raw (Burkina Faso), n=1",Pennisetum glaucum ,eligible,No exclusion or review rule matched.,,Default project rule
01_026,"Pearl millet, IKMP 8 variety, whole grains, raw (Burkina Faso), n=1",Pennisetum glaucum ,eligible,No exclusion or review rule matched.,,Default project rule
01_027,"Pearl millet, IKMP 9 variety, whole grains, raw (Burkina Faso), n=1",Pennisetum glaucum ,eligible,No exclusion or review rule matched.,,Default project rule
01_028,"Pearl millet, IKMP 10 variety, whole grains, raw (Burkina Faso), n=1",Pennisetum glaucum ,eligible,No exclusion or review rule matched.,,Default project rule
01_029,"Pearl millet, IKMP 11 variety, whole grains, raw (Burkina Faso), n=1",Pennisetum glaucum ,eligible,No exclusion or review rule matched.,,Default project rule
01_030,"Pearl millet, IKMP 12 variety, whole grains, raw (Burkina Faso), n=1",Pennisetum glaucum ,eligible,No exclusion or review rule matched.,,Default project rule
01_031,"Pearl millet, IKMP 13 variety, whole grains, raw (Burkina Faso), n=1",Pennisetum glaucum ,eligible,No exclusion or review rule matched.,,Default project rule
01_032,"Pearl millet, combined varieties, whole grains, raw (Burkina Faso)",Pennisetum glaucum ,eligible,No exclusion or review rule matched.,,Default project rule
01_132,"Pearl millet, combined varieties, whole grains (Burkina Faso), boiled* (as part of a recipe)",Pennisetum glaucum ,eligible,No exclusion or review rule matched.,,Default project rule
01_064,"Pearl millet, combined varieties, whole grains (Burkina Faso), boiled* (without salt), drained",Pennisetum glaucum ,eligible,No exclusion or review rule matched.,,Default project rule
01_095,"Pearl millet, decorticated, raw",Pennisetum glaucum ,eligible,No exclusion or review rule matched.,,Default project rule
01_131,"Pearl millet, decorticated, boiled* (as part of a recipe)",Pennisetum glaucum ,eligible,No exclusion or review rule matched.,,Default project rule
01_130,"Pearl millet, decorticated, boiled* (without salt), drained",Pennisetum glaucum ,eligible,No exclusion or review rule matched.,,Default project rule
01_063,"Pearl millet, flour (bran removed)",Pennisetum glaucum,eligible,No exclusion or review rule matched.,,Default project rule
01_017,"Pearl millet, whole grains (with bran), raw",Pennisetum glaucum,eligible,No exclusion or review rule matched.,,Default project rule
01_129,"Pearl millet, whole grains, boiled* (as part of a recipe)",Pennisetum glaucum ,eligible,No exclusion or review rule matched.,,Default project rule
01_033,"Pearl millet, whole grains, boiled* (without salt), drained",Pennisetum glaucum ,eligible,No exclusion or review rule matched.,,Default project rule
01_175,Pigri (Burkina Faso)*: steamed pearl millet balls,,eligible,No exclusion or review rule matched.,,Default project rule
01_061,"Porridge, soft, from degermed white maize grit* (without salt)",Zea mays,eligible,No exclusion or review rule matched.,,Default project rule
01_056,"Porridge, soft, from degermed yellow maize grit* (without salt)",Zea mays,eligible,No exclusion or review rule matched.,,Default project rule
01_154,"Porridge, soft, from refined (special) white maize flour fortified with vitamin A (Nigeria)* (without salt)",Zea mays,eligible,No exclusion or review rule matched.,,Default project rule
01_112,"Porridge, soft, from refined (special) white maize flour, unfortified* (without salt)",Zea mays,eligible,No exclusion or review rule matched.,,Default project rule
01_117,"Porridge, soft, from refined (super) white maize flour fortified with vitamin A (Nigeria)* (without salt)",Zea mays,eligible,No exclusion or review rule matched.,,Default project rule
01_115,"Porridge, soft, from refined (super) white maize flour, unfortified* (without salt)",Zea mays,eligible,No exclusion or review rule matched.,,Default project rule
01_110,"Porridge, soft, from sifted white maize meal fortified with vitamin A (Nigeria)* (without salt)",Zea mays,eligible,No exclusion or review rule matched.,,Default project rule
01_108,"Porridge, soft, from sifted white maize meal, unfortified* (without salt)",Zea mays,eligible,No exclusion or review rule matched.,,Default project rule
01_106,"Porridge, soft, from wholegrain white maize meal* (without salt)",Zea mays,eligible,No exclusion or review rule matched.,,Default project rule
01_122,"Porridge, soft, from wholegrain yellow maize meal* (without salt)",Zea mays,eligible,No exclusion or review rule matched.,,Default project rule
01_076,"Porridge, stiff, from degermed white maize grit* (without salt)",Zea mays,eligible,No exclusion or review rule matched.,,Default project rule
01_075,"Porridge, stiff, from degermed yellow maize grit* (without salt)",Zea mays,eligible,No exclusion or review rule matched.,,Default project rule
01_113,"Porridge, stiff, from refined (special) white maize flour fortified with vitamin A (Nigeria)* (without salt)",Zea mays,eligible,No exclusion or review rule matched.,,Default project rule
01_111,"Porridge, stiff, from refined (special) white maize flour, unfortified* (without salt)",Zea mays,eligible,No exclusion or review rule matched.,,Default project rule
01_116,"Porridge, stiff, from refined (super) white maize flour fortified with vitamin A (Nigeria)* (without salt)",Zea mays,eligible,No exclusion or review rule matched.,,Default project rule
01_114,"Porridge, stiff, from refined (super) white maize flour, unfortified* (without salt)",Zea mays,eligible,No exclusion or review rule matched.,,Default project rule
01_109,"Porridge, stiff, from sifted white maize meal fortified with vitamin A (Nigeria)* (without salt)",Zea mays,eligible,No exclusion or review rule matched.,,Default project rule
01_107,"Porridge, stiff, from sifted white maize meal, unfortified* (without salt)",Zea mays,eligible,No exclusion or review rule matched.,,Default project rule
01_105,"Porridge, stiff, from wholegrain white maize meal* (without salt)",Zea mays,eligible,No exclusion or review rule matched.,,Default project rule
01_121,"Porridge, stiff, from wholegrain yellow maize meal* (without salt)",Zea mays,eligible,No exclusion or review rule matched.,,Default project rule
01_150,"Porridge, tô, from degermed white maize grit* (without salt)",Zea mays,eligible,No exclusion or review rule matched.,,Default project rule
01_155,"Porridge, tô, from degermed yellow maize grit* (without salt)",Zea mays,eligible,No exclusion or review rule matched.,,Default project rule
01_166,"Porridge, tô, from maize and cassava flour (Burkina Faso)*",,eligible,No exclusion or review rule matched.,,Default project rule
01_147,"Porridge, tô, from refined (special) white maize flour fortified with vitamin A (Nigeria)* (without salt)",Zea mays,eligible,No exclusion or review rule matched.,,Default project rule
01_146,"Porridge, tô, from refined (special) white maize flour, unfortified* (without salt)",Zea mays,eligible,No exclusion or review rule matched.,,Default project rule
01_149,"Porridge, tô, from refined (super) white maize flour fortified with vitamin A (Nigeria)* (without salt)",Zea mays,eligible,No exclusion or review rule matched.,,Default project rule
01_148,"Porridge, tô, from refined (super) white maize flour, unfortified* (without salt)",Zea mays,eligible,No exclusion or review rule matched.,,Default project rule
01_144,"Porridge, tô, from sifted white maize meal fortified with vitamin A (Nigeria)* (without salt)",Zea mays,eligible,No exclusion or review rule matched.,,Default project rule
01_145,"Porridge, tô, from sifted white maize meal, unfortified* (without salt)",Zea mays,eligible,No exclusion or review rule matched.,,Default project rule
01_143,"Porridge, tô, from wholegrain white maize meal* (without salt)",Zea mays,eligible,No exclusion or review rule matched.,,Default project rule
01_151,"Porridge, tô, from wholegrain yellow maize meal* (without salt)",Zea mays,eligible,No exclusion or review rule matched.,,Default project rule
01_163,"Rice cakes, fried in unfortified vegetable oil*",,eligible,No exclusion or review rule matched.,,Default project rule
01_079,"Rice flour, white",Oryza sativa,eligible,No exclusion or review rule matched.,,Default project rule
01_162,Rice with fish and vegetable curry (Burkina Faso)*,,eligible,No exclusion or review rule matched.,,Default project rule
01_034,"Rice, brown, raw",Oryza sativa,eligible,No exclusion or review rule matched.,,Default project rule
01_152,"Rice, brown, boiled* (as part of a recipe)",Oryza sativa,eligible,No exclusion or review rule matched.,,Default project rule
01_035,"Rice, brown, boiled* (without salt), drained",Oryza sativa,eligible,No exclusion or review rule matched.,,Default project rule
01_065,"Rice, red native, hulled, raw",Oryza glaberrima,eligible,No exclusion or review rule matched.,,Default project rule
01_136,"Rice, red native, hulled, boiled* (as part of a recipe)",Oryza glaberrima,eligible,No exclusion or review rule matched.,,Default project rule
01_066,"Rice, red native, hulled, boiled* (without salt), drained",Oryza glaberrima,eligible,No exclusion or review rule matched.,,Default project rule
01_067,"Rice, red native, milled, raw",Oryza glaberrima,eligible,No exclusion or review rule matched.,,Default project rule
01_137,"Rice, red native, milled, boiled* (as part of a recipe)",Oryza glaberrima,eligible,No exclusion or review rule matched.,,Default project rule
01_068,"Rice, red native, milled, boiled* (without salt), drained",Oryza glaberrima,eligible,No exclusion or review rule matched.,,Default project rule
01_036,"Rice, white, polished, raw",Oryza sativa,eligible,No exclusion or review rule matched.,,Default project rule
01_134,"Rice, white, polished, boiled* (as part of a recipe)",Oryza sativa,eligible,No exclusion or review rule matched.,,Default project rule
01_069,"Rice, white, polished, boiled* (without salt), drained",Oryza sativa,eligible,No exclusion or review rule matched.,,Default project rule
01_037,"Rice, white, raw",Oryza sativa,eligible,No exclusion or review rule matched.,,Default project rule
01_135,"Rice, white, boiled* (as part of a recipe)",Oryza sativa,eligible,No exclusion or review rule matched.,,Default project rule
01_038,"Rice, white, boiled* (without salt), drained",Oryza sativa,eligible,No exclusion or review rule matched.,,Default project rule
01_072,"Sorghum, flour, degermed",Sorghum bicolor,eligible,No exclusion or review rule matched.,,Default project rule
01_039,"Sorghum, whole grains, raw",Sorghum bicolor,eligible,No exclusion or review rule matched.,,Default project rule
01_138,"Sorghum, whole grains, boiled* (as part of a recipe)",Sorghum bicolor,eligible,No exclusion or review rule matched.,,Default project rule
01_042,"Sorghum, whole grains, boiled* (without salt), drained",Sorghum bicolor,eligible,No exclusion or review rule matched.,,Default project rule
01_041,"Sorghum, whole grains, red, raw",Sorghum bicolor,eligible,No exclusion or review rule matched.,,Default project rule
01_139,"Sorghum, whole grains, red, boiled* (as part of a recipe)",Sorghum bicolor,eligible,No exclusion or review rule matched.,,Default project rule
01_070,"Sorghum, whole grains, red, boiled* (without salt), drained",Sorghum bicolor,eligible,No exclusion or review rule matched.,,Default project rule
01_040,"Sorghum, whole grains, white, raw",Sorghum bicolor,eligible,No exclusion or review rule matched.,,Default project rule
01_140,"Sorghum, whole grains, white, boiled* (as part of a recipe)",Sorghum bicolor,eligible,No exclusion or review rule matched.,,Default project rule
01_071,"Sorghum, whole grains, white, boiled* (without salt), drained",Sorghum bicolor,eligible,No exclusion or review rule matched.,,Default project rule
01_184,"Teff, whole grains, raw",Eragrostis tef,eligible,No exclusion or review rule matched.,,Default project rule
01_186,"Teff, whole grains, boiled* (as part of a recipe)",Eragrostis tef,eligible,No exclusion or review rule matched.,,Default project rule
01_185,"Teff, whole grains, boiled* (without salt), drained",Eragrostis tef,eligible,No exclusion or review rule matched.,,Default project rule
01_183,"Weet-Bix (breakfast cereal), unfortified",,eligible,No exclusion or review rule matched.,,Default project rule
01_169,Wèsln né souma (Burkina Faso)*: couscous from yellow maize with bambara groundnuts,,eligible,No exclusion or review rule matched.,,Default project rule
01_043,"Wheat flour, white, unfortified",Triticum spp.,eligible,No exclusion or review rule matched.,,Default project rule
01_083,"Wheat flour, white, fortified with iron, zinc, folic acid and vitamins B1, B2, B3, B6, B12 (Benin)",Triticum spp.,eligible,No exclusion or review rule matched.,,Default project rule
01_084,"Wheat flour, white, fortified with iron, zinc, folic acid and vitamin B12 (Burkina Faso, Togo)",Triticum spp.,eligible,No exclusion or review rule matched.,,Default project rule
01_085,"Wheat flour, white, fortified with iron and folic acid (Cabo Verde)",Triticum spp.,eligible,No exclusion or review rule matched.,,Default project rule
01_087,"Wheat flour, white, fortified with iron, zinc, folic acid and vitamins A, B1, B2, B3, B12 (Ghana, Sierra Leone)",Triticum spp.,eligible,No exclusion or review rule matched.,,Default project rule
01_090,"Wheat flour, white, fortified with iron, zinc, folic acid and vitamins B1, B2, B3, B12 (Guinea)",Triticum spp.,eligible,No exclusion or review rule matched.,,Default project rule
01_086,"Wheat flour, white, fortified with iron, zinc, folic acid and vitamins B1, B2, B3, B12 (Côte d’Ivoire, Mali, Niger, Senegal)",Triticum spp.,eligible,No exclusion or review rule matched.,,Default project rule
01_088,"Wheat flour, white, fortified with iron, zinc, folic acid and vitamins B1, B2, B3, B12 (Liberia)",Triticum spp.,eligible,No exclusion or review rule matched.,,Default project rule
01_089,"Wheat flour, white, fortified with iron and vitamins A, B1, B2, B3 (Nigeria)",Triticum spp.,eligible,No exclusion or review rule matched.,,Default project rule
01_082,"Wheat flour, wholemeal, unfortified",Triticum spp.,eligible,No exclusion or review rule matched.,,Default project rule
01_073,"Wheat, bran, raw",Triticum spp.,eligible,No exclusion or review rule matched.,,Default project rule
01_074,"Wheat, whole grains, raw",Triticum spp.,eligible,No exclusion or review rule matched.,,Default project rule
01_142,"Wheat, whole grains, boiled* (as part of a recipe)",Triticum spp.,eligible,No exclusion or review rule matched.,,Default project rule
01_141,"Wheat, whole grains, boiled* (without salt), drained",Triticum spp.,eligible,No exclusion or review rule matched.,,Default project rule
02_093,Banakou né barâand kanss saagbo (Burkina Faso)*: foutou of cassava and unripe plantain,,eligible,No exclusion or review rule matched.,,Default project rule
02_091,Banakou né barâand moomd saagbo (Burkina Faso)*: foutou of cassava and ripe plantain,,eligible,No exclusion or review rule matched.,,Default project rule
02_092,Banakou né kou saagbo (Burkina Faso)*: foutou of yam and cassava,,eligible,No exclusion or review rule matched.,,Default project rule
02_021,"Cassava, sweet, tuber, white flesh, dried",Manihot esculenta,eligible,No exclusion or review rule matched.,,Default project rule
02_041,"Cassava, fermented paste from white cassava flour (wet fufu)",Manihot esculenta,eligible,No exclusion or review rule matched.,,Default project rule
02_038,"Cassava, flour, from fermented white cassava (alibo/elubo/lafun)",Manihot esculenta,eligible,No exclusion or review rule matched.,,Default project rule
02_040,"Cassava, flour, from fermented white cassava (dry fufu)",Manihot esculenta,eligible,No exclusion or review rule matched.,,Default project rule
02_004,"Cassava, flour, from white cassava",Manihot esculenta,eligible,No exclusion or review rule matched.,,Default project rule
02_039,"Cassava, grated, from fermented white cassava, toasted without oil (white gari)",Manihot esculenta,eligible,No exclusion or review rule matched.,,Default project rule
02_001,"Cassava, tuber, white flesh, raw",Manihot esculenta,eligible,No exclusion or review rule matched.,,Default project rule
02_051,"Cassava, tuber, white flesh, boiled* (as part of a recipe)",Manihot esculenta,eligible,No exclusion or review rule matched.,,Default project rule
02_003,"Cassava, tuber, white flesh, boiled* (without salt), drained",Manihot esculenta,eligible,No exclusion or review rule matched.,,Default project rule
02_002,"Cassava, tuber, white flesh, dried",Manihot esculenta,eligible,No exclusion or review rule matched.,,Default project rule
02_037,"Cassava, tuber, yellow flesh, raw",Manihot esculenta,eligible,No exclusion or review rule matched.,,Default project rule
02_053,"Cassava, tuber, yellow flesh, boiled* (as part of a recipe)",Manihot esculenta,eligible,No exclusion or review rule matched.,,Default project rule
02_052,"Cassava, tuber, yellow flesh, boiled* (without salt), drained",Manihot esculenta,eligible,No exclusion or review rule matched.,,Default project rule
02_005,"Cocoyam, tuber, white, raw",Xanthosoma sagittifolium,eligible,No exclusion or review rule matched.,,Default project rule
02_054,"Cocoyam, tuber, white, boiled* (as part of a recipe)",Xanthosoma sagittifolium,eligible,No exclusion or review rule matched.,,Default project rule
02_006,"Cocoyam, tuber, white, boiled* (without salt), drained",Xanthosoma sagittifolium,eligible,No exclusion or review rule matched.,,Default project rule
02_043,"Cocoyam, tuber, yellow, raw",Xanthosoma sagittifolium,eligible,No exclusion or review rule matched.,,Default project rule
02_056,"Cocoyam, tuber, yellow, boiled* (as part of a recipe)",Xanthosoma sagittifolium,eligible,No exclusion or review rule matched.,,Default project rule
02_055,"Cocoyam, tuber, yellow, boiled* (without salt), drained",Xanthosoma sagittifolium,eligible,No exclusion or review rule matched.,,Default project rule
02_086,Cou nin zindo (Burkina Faso)*: yam and vegetable stew,,eligible,No exclusion or review rule matched.,,Default project rule
02_081,"French fries, deep fried in unfortified vegetable oil*",,eligible,No exclusion or review rule matched.,,Default project rule
02_089,Fufu of ripe and unripe plantain with red palm oil (Burkina Faso)*,,eligible,No exclusion or review rule matched.,,Default project rule
02_088,Fufu of ripe plantain with red palm oil (Burkina Faso)*,,eligible,No exclusion or review rule matched.,,Default project rule
02_096,Fufu of unripe plantain with red palm oil (Burkina Faso)*,,eligible,No exclusion or review rule matched.,,Default project rule
02_099,Fufu of unripe plantain with shea butter (Burkina Faso)*,,eligible,No exclusion or review rule matched.,,Default project rule
02_094,Kou né barâand kanss saagbo (Burkina Faso)*: foutou of yam and unripe plantain,,eligible,No exclusion or review rule matched.,,Default project rule
02_098,Kou né barâand moomd saagbo (Burkina Faso)*: foutou of yam with ripe plantain,,eligible,No exclusion or review rule matched.,,Default project rule
02_090,Kou né kamoag fufu (Burkina Faso)*: fufu of yam with shea butter,,eligible,No exclusion or review rule matched.,,Default project rule
02_087,Kou né téhi kaam fufu (Burkina Faso)*: fufu of yam and red palm oil,,eligible,No exclusion or review rule matched.,,Default project rule
02_097,Kou saagbo (Burkina Faso)*: foutou of yam,,eligible,No exclusion or review rule matched.,,Default project rule
02_084,"Plantain, deep fried in unfortified vegetable oil*",,eligible,No exclusion or review rule matched.,,Default project rule
02_042,"Plantain, ripe, ivory flesh, raw",Musa paradisica,eligible,No exclusion or review rule matched.,,Default project rule
